26400,158400,391000,703000,1176000,1654800,2236400,2634700,3095100,4164500,4590200,6128600,6741200,8246000,10086000,9993900,12404700,14149400,15884700,17324700,19459600,
11500,1468700,8633200,26266300,61080300,114697500,213052400,297693400,438529200,621277000,846753500,1147863200,1453632400,1847688500,2312279600,2820460400,3292256700,4181248700,4929874600,5700912200,6580323600,
9800,2024300,12788700,42674100,102468800,190198900,315468000,482549300,795406400,982181100,1372853800,1759974800,2372257000,2987381700,3581755800,4824098700,5235499200,6257059100,7335368100,8738359200,10983817200,
1900,77900,259900,259200,444800,746300,966600,1274900,1728700,2137900,2545500,3157200,3637300,4165900,4687200,5622500,6068300,6987400,7723600,8838500,9584200,
