4327,4461,3887,5277,8927,10759,6863,14799,10050,12694,8311,17304,9097,12166,7248,17405,2407,3323,1375,5343,7863,8087,4207,11935,29804,29804,29804,29804,14495,14495,14495,14495,7248,7248,7228,7180,3539,4191,7017,8889,8777,9333,10117,8321,4042,4862,5154,4170,4120,5934,4757,4735,
16106,16508,15272,20552,36727,41343,23007,59599,43054,48496,20848,69604,40237,45898,14094,69805,9257,11565,2397,20693,28495,26767,8479,44631,30904,30904,30904,30904,28795,28795,28795,28795,16800,16809,16699,16625,7802,9941,25133,32789,19548,21578,23292,19690,10078,13458,10954,10434,10054,13628,10920,11274,
35473,36161,34161,45827,84015,91503,49551,134399,98647,108520,33835,156904,92188,103410,26608,157205,20851,24595,3619,46043,62535,55287,13487,97615,32004,32004,32004,32004,43095,43095,43095,43095,27191,27196,26996,26882,11859,15331,55153,71689,30883,34929,37679,31861,17094,21030,16810,18458,16415,22834,17694,18912,
62258,63454,60546,81102,148439,166895,86303,239199,174523,197365,47056,279204,163739,188635,34598,279605,36013,45241,4945,81393,107335,99311,18975,170815,33104,33104,33104,33104,57395,57395,57395,57395,38204,38241,37922,37765,17593,21205,96147,125589,43986,49592,53042,44730,24062,31354,24294,25158,23221,33846,25077,26087,
96477,98131,94435,126377,228327,253839,131967,373999,268603,300211,59053,436504,250879,284432,39884,437005,53907,66663,5727,126743,160599,145031,23431,264015,34204,34204,34204,34204,71695,71695,71695,71695,49244,49282,48848,48614,21802,26794,147935,194489,56653,64215,68433,58473,29082,39158,28874,33306,30531,43374,31406,34696,
138314,140356,135794,181652,329383,357967,187359,538799,387427,422629,70744,628804,360527,397900,44046,629405,77385,91677,6373,182093,229135,198071,27967,377575,35304,35304,35304,35304,85995,85995,85995,85995,61254,61308,60701,60529,26996,31974,212329,278389,70918,78900,84854,72788,39366,50866,38450,43362,37671,54517,37191,41909,
