1601,1484,1567,1693,2326,2805,1989,3388,2414,3168,2141,3924,2335,3166,2146,3943,976,1339,488,2214,1813,1881,1086,2599,5546,5284,5292,5275,3237,3225,3245,3296,1784,1784,1744,1771,649,725,1060,2145,1314,1564,1900,1494,805,951,796,676,587,841,665,676,
6611,6550,5885,6620,9669,10514,7123,12518,10430,11454,5405,14849,9949,11277,4183,14165,3851,4718,804,8190,6330,6017,2357,9639,5500,5451,5499,5465,6350,6694,6350,6103,3876,3896,3748,4283,1399,1661,3911,5925,2879,3117,3590,3323,1565,2007,1800,1668,1382,1837,1651,1696,
13917,14336,12444,14371,20366,22899,15012,27722,22933,25495,8652,32027,22743,24086,7504,30002,8645,10045,1155,17406,13411,13588,3830,21310,5851,5724,5720,5720,9156,9119,9160,9173,6260,6244,6028,6066,2099,2466,8596,11690,5914,5917,6187,5544,2852,3209,2717,2952,2175,3060,2588,2854,
23676,23851,21356,25579,37226,40945,24886,47509,41124,46471,11925,58196,40512,45199,9976,56928,14100,17353,1557,30944,23820,22807,5267,37118,5743,5646,5650,5655,11474,11456,11795,12129,7730,7687,7362,8341,3919,3230,13624,18367,6298,7833,8301,7224,3578,4554,3894,3956,3138,4415,3524,3855,
36533,39049,34326,36968,56617,60330,37682,72836,63101,69149,14870,87317,61334,67267,11035,83697,21650,26430,1806,48681,35754,35789,7143,57046,6265,6151,5859,5879,14875,14595,14464,14210,10674,10602,10262,10205,6444,4336,21416,27197,9092,9541,10708,9900,4768,5690,4420,5301,4215,5857,4511,5231,
50006,56008,48375,53719,78294,82636,53261,107506,87574,94200,17896,125901,85953,93116,12182,119451,30117,36302,1998,68817,55373,48991,8662,81501,6349,6150,6415,6230,17006,16991,17023,17311,13689,13490,12592,13576,6624,4833,28705,39144,10664,11713,13913,11994,6197,7707,6062,6525,5226,7378,5246,6155,
